Title,Subtitle,Album,Year,Duration,ImageUrl,MusicUrl,Artist,LocalMusicUrl,LocalImageUrl
Baby Pluto,Lil Uzi Vert - Eternal Atake,Eternal Atake,2020,210,https://c.saavncdn.com/934/Eternal-Atake-English-2020-20200612112303-150x150.jpg,https://aac.saavncdn.com/934/4e480506abb82674bb2675a30171868c_96.mp4,['Lil Uzi Vert'],./music/Baby Pluto/Baby Pluto.mp3,./music/Baby Pluto/Baby Pluto.png
Chicken Fried,Zac Brown Band - Chicken Fried,Chicken Fried,2008,238,https://c.saavncdn.com/464/Chicken-Fried-English-2010-150x150.jpg,https://aac.saavncdn.com/464/a5554b0b1a0baece6daee8334c7fe87a_96.mp4,['Zac Brown Band'],./music/Chicken Fried/Chicken Fried.mp3,./music/Chicken Fried/Chicken Fried.png
Sunset Lover,Petit Biscuit - Sunset Lover,Sunset Lover,2015,237,https://c.saavncdn.com/377/Sunset-Lover-English-2015-150x150.jpg,https://aac.saavncdn.com/377/c929c999914a69fc1899f5dc23b1c138_96.mp4,['Petit Biscuit'],./music/Sunset Lover/Sunset Lover.mp3,./music/Sunset Lover/Sunset Lover.png
Hear Me Calling,Juice WRLD - Death Race For Love (Bonus Track Version),Death Race For Love (Bonus Track Version),2022,190,https://c.saavncdn.com/656/Death-Race-For-Love-Bonus-Track-Version--English-2022-20220126063648-150x150.jpg,https://aac.saavncdn.com/656/84020c8b7708d8724c04141bfde80cdf_96.mp4,['Juice WRLD'],./music/Hear Me Calling/Hear Me Calling.mp3,./music/Hear Me Calling/Hear Me Calling.png
Project Dreams,"Marshmello, Roddy Ricch - Project Dreams",Project Dreams,2019,167,https://c.saavncdn.com/034/Project-Dreams-English-2019-20190607041510-150x150.jpg,https://aac.saavncdn.com/034/c85411dfee859e6dc29cf01ac185f8c8_96.mp4,"['Marshmello', 'Roddy Ricch']",./music/Project Dreams/Project Dreams.mp3,./music/Project Dreams/Project Dreams.png
Blood On My Jeans,Juice WRLD - Legends Never Die,Legends Never Die,2020,154,https://c.saavncdn.com/302/Legends-Never-Die-English-2020-20200807042144-150x150.jpg,https://aac.saavncdn.com/302/1f81f973bbba27631927810e58700972_96.mp4,['Juice WRLD'],./music/Blood On My Jeans/Blood On My Jeans.mp3,./music/Blood On My Jeans/Blood On My Jeans.png
Glad You Exist,Dan + Shay - Glad You Exist,Glad You Exist,2021,144,https://c.saavncdn.com/735/Glad-You-Exist-English-2021-20210716045357-150x150.jpg,https://aac.saavncdn.com/735/05c1f3b313147c469b4d44c23dede862_96.mp4,['Dan + Shay'],./music/Glad You Exist/Glad You Exist.mp3,./music/Glad You Exist/Glad You Exist.png
Planez,Jeremih ft. J. Cole - Late Nights: The Album,Late Nights: The Album,2015,241,https://c.saavncdn.com/832/Late-Nights-The-Album-English-2015-20200328141413-150x150.jpg,https://aac.saavncdn.com/832/3bbdcd56410c9b8c7186b65d8e8e96d2_96.mp4,['Jeremih'],./music/Planez/Planez.mp3,./music/Planez/Planez.png
Party In The U.S.A.,Miley Cyrus - The Time Of Our Lives (International Version),The Time Of Our Lives (International Version),2009,202,https://c.saavncdn.com/578/The-Time-Of-Our-Lives-International-Version-2012-150x150.jpg,https://aac.saavncdn.com/578/a5ccd9f35767a7578c3d2cdc2d69f749_96.mp4,['Miley Cyrus'],./music/Party In The U.S.A./Party In The U.S.A..mp3,./music/Party In The U.S.A./Party In The U.S.A..png
Costa Rica,"Dreamville, Bas, Jid ft. Guapdad 4000, Reese LAFLARE, JACE, Mez, Smokepurpp, Buddy, Ski Mask the Slump God - ROTD3.COM",ROTD3.COM,2019,217,https://c.saavncdn.com/644/ROTD3-COM-English-2019-20190705032925-150x150.jpg,https://aac.saavncdn.com/644/4d921a2af2565c3a65e41c3892e403b9_96.mp4,"['Dreamville', 'Bas', 'Jid']",./music/Costa Rica/Costa Rica.mp3,./music/Costa Rica/Costa Rica.png
Rise,Jonas Blue ft. Jack &amp; Jack - Rise,Rise,2018,194,https://c.saavncdn.com/750/Rise-English-2018-20180523230337-150x150.jpg,https://aac.saavncdn.com/750/59f09989235a80e543369b11386cb6e6_96.mp4,['Jonas Blue'],./music/Rise/Rise.mp3,./music/Rise/Rise.png
Problem,Ariana Grande ft. Iggy Azalea - My Everything,My Everything,2014,193,https://c.saavncdn.com/534/My-Everything-English-2014-20200418014141-150x150.jpg,https://aac.saavncdn.com/534/73988ab3997a1d9abaee4b41f419a897_96.mp4,['Ariana Grande'],./music/Problem/Problem.mp3,./music/Problem/Problem.png
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life)",RITMO (Bad Boys For Life),2019,222,https://c.saavncdn.com/913/RITMO-Bad-Boys-For-Life--English-2019-20191010020022-150x150.jpg,https://aac.saavncdn.com/913/dc409710e7f7558dbf07650aa837ab39_96.mp4,"['Black Eyed Peas', 'J Balvin']",./music/RITMO (Bad Boys For Life)/RITMO (Bad Boys For Life).mp3,./music/RITMO (Bad Boys For Life)/RITMO (Bad Boys For Life).png
Green Light,Lorde - Melodrama,Melodrama,2017,234,https://c.saavncdn.com/087/Melodrama-English-2017-20180615110220-150x150.jpg,https://aac.saavncdn.com/087/cb51c11c3cae11b4693c505858bac5f4_96.mp4,['Lorde'],./music/Green Light/Green Light.mp3,./music/Green Light/Green Light.png
Tap In,Saweetie - Tap In,Tap In,2020,139,https://c.saavncdn.com/342/Tap-In-English-2020-20200616203900-150x150.jpg,https://aac.saavncdn.com/342/bb88e24b9412e0d985c5dbd6ce984c16_96.mp4,['Saweetie'],./music/Tap In/Tap In.mp3,./music/Tap In/Tap In.png
World's Smallest Violin,AJR - OK ORCHESTRA,OK ORCHESTRA,2021,180,https://c.saavncdn.com/331/OK-ORCHESTRA-English-2021-20210318193311-150x150.jpg,https://aac.saavncdn.com/331/a287b18215b172a11384ff76b4b32a9c_96.mp4,['AJR'],./music/World's Smallest Violin/World's Smallest Violin.mp3,./music/World's Smallest Violin/World's Smallest Violin.png
God's Country,Blake Shelton - God's Country,God's Country,2019,205,https://c.saavncdn.com/495/God-s-Country-English-2019-20191017020351-150x150.jpg,https://aac.saavncdn.com/495/7e0c7d7c39ec4bedd1ea297a5b01253b_96.mp4,['Blake Shelton'],./music/God's Country/God's Country.mp3,./music/God's Country/God's Country.png
Hot N*gga,Bobby Shmurda - Hot N*gga,Hot N*gga,2014,195,https://c.saavncdn.com/025/Hot-N-gga-English-2014-150x150.jpg,https://aac.saavncdn.com/025/85c63e8777f1ec625a6354a060a73786_96.mp4,['Bobby Shmurda'],./music/Hot N*gga/Hot N*gga.mp3,./music/Hot N*gga/Hot N*gga.png
Solo Dance,Martin Jensen - Solo Dance,Solo Dance,2016,174,https://c.saavncdn.com/710/Solo-Dance-English-2016-150x150.jpg,https://aac.saavncdn.com/710/8bb9f3290956ccb1ea5d6aacdae7d824_96.mp4,['Martin Jensen'],./music/Solo Dance/Solo Dance.mp3,./music/Solo Dance/Solo Dance.png
Running Out,"Matoma, Astrid S - Running Out",Running Out,2015,211,https://c.saavncdn.com/455/Running-Out-English-2015-20190607044242-150x150.jpg,https://aac.saavncdn.com/455/fc42540c7c10776023980dd4676470a6_96.mp4,"['Matoma', 'Astrid S']",./music/Running Out/Running Out.mp3,./music/Running Out/Running Out.png
